id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2021-1130420;2021-01-26;1;Vente;590000.00;3;;"PL MEISSONIER";4710;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AV0027;;;19;39.32;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";150.00;0;;;;;;4.8327340;45.7659430;000AV
2021-1130420;2021-01-26;1;Vente;590000.00;3;;"PL MEISSONIER";4710;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AV0027;;;4;68.77;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";10.00;0;;;;;;4.8327340;45.7659430;000AV
2021-1130439;2021-01-13;1;Vente;171000.00;1;;"PTR PTE RUE DES FEUILLANTS";2750;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AR0117;;;29;31.40;;;;;;;;;1;2;Appartement;31.00;2;;;;;;4.8363320;45.7693320;000AR
2021-1130451;2021-01-22;1;Vente;239000.00;39;;"RUE DES CHARTREUX";1550;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AE0041;;;20;;41;45.69;;;;;;;2;2;Appartement;18.00;1;;;;;;4.8250650;45.7721230;000AE
2021-1130466;2021-01-07;1;Vente;185000.00;22;;"QUAI ST VINCENT";6590;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0233;;;73;34.61;;;;;;;;;1;2;Appartement;35.00;1;;;;;;4.8216410;45.7686130;000AB
2021-1130471;2021-01-15;1;Vente;144000.00;16;;"RUE CONSTANTINE";1895;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0102;;;12;;32;;;;;;;;2;2;Appartement;50.00;2;;;;;;4.8321250;45.7669140;000AT
2021-1130471;2021-01-15;1;Vente;144000.00;16;;"RUE CONSTANTINE";1895;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0102;;;11;83.09;25;;37;;;;;;3;2;Appartement;33.00;1;;;;;;4.8321250;45.7669140;000AT
2021-1130482;2021-01-26;1;Vente;508500.00;11;;"RUE RENE LEYNAUD";5990;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0053;;;5;92.62;;;;;;;;;1;2;Appartement;92.00;2;;;;;;4.8322970;45.7697730;000AP
2021-1130485;2021-01-25;1;Vente;160000.00;14;;"RUE BURDEAU";1155;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0015;;;2;18.01;;;;;;;;;1;2;Appartement;30.00;1;;;;;;4.8311100;45.7700090;000AP
2021-1130496;2021-01-07;1;Vente;305000.00;13;;"RUE STE-CATHERINE";6610;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0142;;;26;69.83;;;;;;;;;1;2;Appartement;75.00;2;;;;;;4.8334360;45.7685200;000AP
2021-1130506;2021-01-26;1;Vente;186000.00;5;;"MTE DE LA BUTTE";1160;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0094;;;5;33.56;;;;;;;;;1;2;Appartement;37.00;1;;;;;;4.8161690;45.7688190;000AB
2021-1130532;2021-01-29;1;Vente;280000.00;13;;"RUE STE-CATHERINE";6610;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0142;;;60;46.07;66;;;;;;;;2;2;Appartement;46.00;2;;;;;;4.8334360;45.7685200;000AP
2021-1130574;2021-01-13;1;Vente;140000.00;30;;"RUE JEAN-BAPTISTE SAY";3690;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0228;;;17;34.20;;;;;;;;;1;2;Appartement;23.00;1;;;;;;4.8322880;45.7727570;000AO
2021-1130578;2021-02-02;1;Vente;318250.00;41;;"RUE BURDEAU";1155;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0104;;;24;;51;61.32;;;;;;;2;2;Appartement;62.00;2;;;;;;4.8354350;45.7707650;000AO
2021-1130579;2021-01-19;1;Vente;297150.00;30;;"RUE SGT BLANDAN";6735;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AI0116;;;18;31.95;;;;;;;;;1;2;Appartement;40.00;2;;;;;;4.8299840;45.7686050;000AI
2021-1130579;2021-01-19;1;Vente;297150.00;30;;"RUE SGT BLANDAN";6735;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AI0116;;;28;;;;;;;;;;1;3;Dépendance;;0;;;;;;4.8299840;45.7686050;000AI
2021-1130580;2021-01-27;1;Vente;439300.00;24;;"RUE LANTERNE";4140;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AV0009;;;15;76.97;28;;;;;;;;2;2;Appartement;60.00;3;;;;;;4.8316030;45.7656840;000AV
2021-1130581;2021-01-13;1;Vente;320000.00;26;;"RUE DE FLESSELLES";2785;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AH0069;;;10;;15;63.08;;;;;;;2;2;Appartement;60.00;3;;;;;;4.8262400;45.7700680;000AH
2021-1130587;2021-01-27;1;Vente;230000.00;22;;"QUAI ST VINCENT";6590;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0233;;;82;41.66;;;;;;;;;1;2;Appartement;37.00;1;;;;;;4.8216410;45.7686130;000AB
